Factory,Month,GHG,SAH,EFF,WH,W
1396,2023-06-01,4930.9,165424.0,0.42,754635.0,3498.0
1966,2023-06-01,2589.5,20748.0,0.36,115861.0,519.0
150,2023-05-01,7687.1,230899.0,0.73,635900.0,2892.0
434,2023-05-01,18347.8,261131.0,0.39,1303105.0,5992.0
761,2023-05-01,21384.0,180471.0,0.73,500481.0,2333.0
1122,2023-05-01,5620.7,136766.0,0.53,464645.0,2081.0
1396,2023-05-01,4187.1,122919.0,0.46,549361.0,2527.0
1966,2023-05-01,3774.7,28445.0,0.35,153815.0,705.0
150,2023-04-01,9006.1,246104.0,0.71,702704.0,3150.0
434,2023-04-01,11598.2,253408.0,0.56,884136.0,4028.0
761,2023-04-01,13034.5,149737.0,0.84,363239.0,1690.0
1122,2023-04-01,6130.6,143113.0,0.57,498058.0,2217.0
1396,2023-04-01,7856.6,156227.0,0.35,841799.0,3851.0
1966,2023-04-01,2280.0,24145.0,0.43,115289.0,507.0
150,2023-03-01,8622.4,276038.0,0.76,687149.0,3093.0
434,2023-03-01,13008.9,298879.0,0.54,1091549.0,5064.0
761,2023-03-01,22466.8,169021.0,0.69,476350.0,2254.0
1122,2023-03-01,6782.4,155109.0,0.52,657370.0,3019.0
1396,2023-03-01,4413.7,143924.0,0.4,833058.0,3809.0
1966,2023-03-01,3384.4,24652.0,0.31,167603.0,767.0
150,2023-02-01,10117.6,281022.0,0.61,911490.0,4145.0
434,2023-02-01,12481.5,327017.0,0.51,1243438.0,5478.0
761,2023-02-01,20835.9,130440.0,0.64,411531.0,1856.0
1122,2023-02-01,9027.6,176786.0,0.42,858546.0,3893.0
1396,2023-02-01,7615.6,166661.0,0.36,956322.0,4377.0
1966,2023-02-01,3277.2,26347.0,0.31,163994.0,746.0
150,2023-01-01,9445.8,253051.0,0.74,674526.0,3093.0
434,2023-01-01,14487.3,304423.0,0.47,1093971.0,5045.0
761,2023-01-01,24288.8,167275.0,0.62,586623.0,2669.0
1122,2023-01-01,6181.2,126354.0,0.54,416462.0,1849.0
1396,2023-01-01,5168.3,137552.0,0.42,624147.0,2841.0
1966,2023-01-01,3060.9,23822.0,0.3,142871.0,652.0
150,2022-12-01,10960.9,260528.0,0.71,730444.0,3374.0
434,2022-12-01,12145.7,271414.0,0.46,1171567.0,5330.0
761,2022-12-01,12503.7,141704.0,0.71,401252.0,1806.0
1122,2022-12-01,7384.2,143807.0,0.5,668107.0,2991.0
1396,2022-12-01,7064.1,151388.0,0.38,815114.0,3635.0
1966,2022-12-01,2294.3,25008.0,0.39,126171.0,573.0
150,2022-11-01,9648.6,266342.0,0.73,794275.0,3552.0
434,2022-11-01,14707.1,276967.0,0.48,1116199.0,5115.0
761,2022-11-01,20949.0,155233.0,0.72,441282.0,1973.0
1122,2022-11-01,6666.4,142920.0,0.54,536820.0,2394.0
1396,2022-11-01,8091.3,187499.0,0.34,1091583.0,4943.0
1966,2022-11-01,3020.6,25573.0,0.37,131412.0,607.0
150,2022-10-01,10591.7,288055.0,0.66,838886.0,3821.0
434,2022-10-01,9108.3,270192.0,0.53,973557.0,4411.0
761,2022-10-01,14044.1,139588.0,0.77,340775.0,1528.0
1122,2022-10-01,6990.1,127796.0,0.48,513235.0,2319.0
1396,2022-10-01,7750.3,177254.0,0.37,1008189.0,4551.0
1966,2022-10-01,3163.5,25097.0,0.34,149698.0,696.0
150,2022-09-01,7649.3,249517.0,0.73,675390.0,3097.0
434,2022-09-01,13828.8,307665.0,0.51,1321541.0,5980.0
761,2022-09-01,18168.6,138876.0,0.69,439862.0,1959.0
1122,2022-09-01,8073.1,147825.0,0.48,645610.0,2993.0
1396,2022-09-01,4923.2,119619.0,0.33,640996.0,2990.0
1966,2022-09-01,3785.1,27219.0,0.36,159752.0,726.0
150,2022-08-01,7441.5,214929.0,0.67,664358.0,3058.0
434,2022-08-01,19036.3,321704.0,0.65,1018984.0,4647.0
761,2022-08-01,16448.6,157854.0,0.75,389968.0,1758.0
1122,2022-08-01,8431.2,157080.0,0.47,651079.0,2947.0
1396,2022-08-01,9919.4,178942.0,0.34,994567.0,4473.0
1966,2022-08-01,3724.0,26241.0,0.33,156176.0,700.0
150,2022-07-01,8634.8,279909.0,0.82,725757.0,3360.0
434,2022-07-01,19804.7,295269.0,0.5,1246561.0,5619.0
761,2022-07-01,15092.7,153119.0,0.75,371019.0,1740.0
1122,2022-07-01,7816.1,152340.0,0.52,592512.0,2734.0
1396,2022-07-01,7223.0,160062.0,0.35,961270.0,4422.0
1966,2022-07-01,3214.4,27830.0,0.34,156714.0,725.0
